行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,3.2374e-05,0,0.000532418,-1.17882e-05,0.000150663,0.000147246
0,0,0,0.000341029,-1.16716e-05,0.000150663,0.000147571
0,0,0,0.000341029,-1.15692e-05,0.000150663,0.000147865
0,0,0,0.000341029,-1.14679e-05,0.000150663,0.000148132
0,0,0,0.000887387,-1.13527e-05,0.000150663,0.000148372
0,0,0,0.000887387,-1.13603e-05,0.000150663,0.00014859
0,4.33888e-05,0,0.000887387,-1.13631e-05,0.000151314,0.000148849
0,0,0,0.000887387,-1.13717e-05,0.000151314,0.000149084
0,0,0,0.00163823,-1.13793e-05,0.000151314,0.000149296
0,0,0,0.00163823,-1.13869e-05,0.000151314,0.000149488
0,0.000219773,0,0.00163823,-1.12844e-05,0.000154611,0.000149975
0,4.22935e-05,0,0.00115364,-1.11807e-05,0.000155245,0.000150477
0,3.18597e-05,0,0.00115364,-1.1077e-05,0.000155723,0.000150976
0,0,0,0.00115364,-1.0959e-05,0.000155723,0.000151427
0,0,0,0.00115364,-1.0841e-05,0.000155723,0.000151836
0,0,0,0.000657335,-1.07385e-05,0.000155723,0.000152206
0,0,0,0.000657335,-1.07471e-05,0.000155723,0.00015254
0,0.000763008,0,0.000657335,-1.07559e-05,0.000167168,0.000153932
0,0.000343671,0,0.000657335,-1.06547e-05,0.000172323,0.000155681
0,0.00022346,0,0.000897683,-1.05381e-05,0.000175899,0.000157605
0,0.000933813,0,0.000897683,-1.03256e-05,0.000189906,0.000160677
0,0.000667298,0,0.000897683,-1.00838e-05,0.000200583,0.000164473
0,0.00109827,0,0.00108339,-9.76605e-06,0.000217057,0.000169475
1,0.00170577,0.000137988,0.00108339,-6.45434e-06,0.000497149,0.000202643
1,0.00186109,0.000282023,0.00108339,-1.14373e-06,0.000762066,0.000259686
1,0.00364628,0.000450628,0.00108339,7.41517e-06,0.00107321,0.000343596
1,0.00400341,0.00065071,0.0011308,1.94272e-05,0.00139006,0.000452562
1,0.00407706,0.000882303,0.0011308,3.43987e-05,0.00168822,0.000582079
1,0.00494385,0.00119279,0.0011308,5.59673e-05,0.00202012,0.000736142
1,0.00646022,0.00155724,0.0011308,8.20593e-05,0.00235402,0.000911179
1,0.00654716,0.00202439,0.000776967,0.000115929,0.00268923,0.00110779
1,0.00830161,0.00259425,0.000776967,0.000159117,0.00305075,0.00132783
1,0.00865632,0.00325597,0.000776967,0.000212919,0.0034176,0.00157081
1,0.0104128,0.00405622,0.000776967,0.000284221,0.003837,0.00184511
1,0.0114634,0.00493812,0.000569711,0.000370286,0.00427322,0.00214758
1,0.0116477,0.00589914,0.000569711,0.00047236,0.00471238,0.00247696
1,0.0136022,0.0068473,0.000569711,0.000582181,0.00515341,0.0028245
1,0.0149578,0.00783963,0.00141677,0.000707218,0.00561478,0.00319633
1,0.01702,0.00890221,0.00141677,0.000858154,0.0061399,0.00360522
1,0.01796,0.00999608,0.00141677,0.00102684,0.00668006,0.00404244
1,0.0200143,0.0110509,0.00141677,0.00120052,0.00721727,0.00449444
1,0.0198864,0.0121094,0.00186551,0.0013901,0.00775257,0.00496873
1,0.0221539,0.0132855,0.00186551,0.00161207,0.00835983,0.00548366
1,0.0257066,0.0144465,0.00186551,0.00183748,0.00898243,0.00601256
1,0.0269175,0.0156663,0.00260872,0.00208162,0.00962319,0.00656866
1,0.0286553,0.0169442,0.00260872,0.00234537,0.01029,0.00715264
1,0.0294766,0.0183699,0.00260872,0.00265069,0.0110144,0.00778596
1,0.0316357,0.0197794,0.00260872,0.00295796,0.011726,0.00842922
1,0.0340755,0.0212513,0.00338718,0.00328776,0.0124741,0.00910244
1,0.0373698,0.022841,0.00338718,0.0036423,0.0132717,0.00980906
1,0.0383198,0.0246643,0.00338718,0.00405152,0.0141376,0.0105779
1,0.0406762,0.026581,0.00338718,0.00449215,0.0150412,0.0113873
1,0.043718,0.0285119,0.00413418,0.00493431,0.015934,0.0122068
1,0.0451922,0.03068,0.00413418,0.00544253,0.0169098,0.0130984
1,0.0478391,0.0328053,0.00413418,0.00595055,0.0178644,0.013997
1,0.0501834,0.0352294,0.00621004,0.00653361,0.0189202,0.0149754
1,0.0524291,0.0377801,0.00621004,0.0071585,0.0200118,0.0160014
1,0.0560758,0.040273,0.00621004,0.00778129,0.02109,0.0170321
1,0.0579028,0.042885,0.00621004,0.00844416,0.0221955,0.0181054
1,0.061613,0.0455706,0.00902956,0.00914786,0.0233567,0.0192234
1,0.0627204,0.0484984,0.00902956,0.00994725,0.024613,0.0204383
1,0.0665295,0.0514291,0.00902956,0.0107936,0.0259303,0.0217053
1,0.0698964,0.054222,0.00902956,0.0116278,0.0272157,0.0229654
1,0.0721809,0.0572168,0.0120507,0.0125673,0.0286234,0.024332
1,0.0765227,0.0600407,0.0120507,0.0134891,0.0300083,0.0256869
1,0.0771937,0.0630522,0.0120507,0.014522,0.0314962,0.0271524
1,0.0828864,0.0658753,0.0120507,0.0155313,0.0329765,0.0286006
1,0.0859393,0.0688853,0.0168807,0.0166575,0.0346043,0.030169
1,0.0884797,0.0717056,0.0168807,0.0177543,0.0361685,0.031713
1,0.0918106,0.074728,0.0168807,0.0189741,0.0378903,0.0333825
1,0.0961194,0.0775745,0.0215203,0.0201591,0.0395691,0.0350239
1,0.100065,0.0806418,0.0215203,0.0214739,0.0414229,0.0368001
1,0.101709,0.0835311,0.0215203,0.0227485,0.0431855,0.0385413
1,0.106459,0.0865982,0.0215203,0.0241586,0.0451417,0.040423
1,0.110395,0.0894592,0.0264175,0.025522,0.0470346,0.0422661
1,0.113624,0.0924668,0.0264175,0.0270255,0.0491054,0.0442555
1,0.117838,0.095272,0.0264175,0.0284756,0.0511099,0.0462006
1,0.122093,0.0982311,0.0313082,0.030071,0.0533162,0.0482997
1,0.124323,0.10122,0.0313082,0.0317144,0.0555582,0.0504556
1,0.129397,0.104286,0.0313082,0.0334075,0.0578814,0.0526718
1,0.132603,0.107208,0.0313082,0.0350376,0.0601074,0.0548343
