dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0.015,-0.0225201,0.0029374,0,0.01,-0.02,-0.14,0,-0.016731,-0.13041,0,-0.00126596,0.000460597,0.000363424,-9.48091e-05,0.00118815,0.000197034,0,1.87568e-06
0.015,-0.0225201,0.0029374,0,0.01,-0.02,-0.14,0,-0.0167732,-0.13042,0,-0.00126596,0.000460597,0.000361688,-8.76437e-05,0.00100613,0.000182021,0,1.73599e-06
0.016,-0.0225201,0.0029374,0,0.01,-0.02,-0.14,0,-0.0168148,-0.13043,0,-0.00126596,0.000460597,0.000359979,-8.05748e-05,0.000838094,0.000168037,0,1.70991e-06
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0168506,-0.130589,0,-0.00126596,0.000460597,0.000333013,-7.44776e-05,0.000681025,0.000157069,0,2.69655e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0168838,-0.130736,0,-0.00126596,0.000460597,0.000308076,-6.88375e-05,0.000534328,0.000146696,0,2.49371e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0169146,-0.130871,0,-0.00126596,0.000460597,0.000285005,-6.36203e-05,0.000397435,0.000136894,0,2.30707e-05
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0169448,-0.131005,0,-0.00126596,0.000460597,0.000262247,-5.84729e-05,0.000269683,0.000127751,0,2.27578e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0169706,-0.131121,0,-0.00126596,0.000460597,0.000242608,-5.40914e-05,0.000150685,0.000118999,0,1.96397e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0169945,-0.131228,0,-0.00126596,0.000460597,0.000224441,-5.00383e-05,3.99405e-05,0.000110744,0,1.81664e-05
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0170166,-0.131327,0,-0.00126596,0.000460597,0.000207638,-4.62893e-05,-6.30237e-05,0.000102964,0,1.68029e-05
