dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_imu,dax_n_cal,
0.015,-0.0244783,0.000979134,0,0,-0.01,-0.15,0,-0.00741211,-0.145473,0,-0.0010067,0.000719866,-0.00023761,0.000280184,0.000744776,-0.000979133,-0.000959832,0.000222305
0.015,-0.0244783,0.000979134,0,0,-0.01,-0.15,0,-0.00728842,-0.145368,0,-0.0010067,0.000719866,-0.000219757,0.000259169,0.000540977,0,1.78535E-05,0.000203799
0.015,-0.0244783,0.000979134,0.01,0,-0.01,-0.15,0,-0.00702406,-0.145272,0,-0.00100413,0.000719695,-0.000200944,0.000214133,0.000354475,2.56486E-06,1.88127E-05,0.000186502
0.015,-0.0244783,0.00195827,0.01,0,-0.01,-0.15,0,-0.00721177,-0.145183,0,-0.00100413,-0.000259439,-0.00018584,-0.000733111,0.000183762,0,1.51042E-05,0.000170713
0.016,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00739699,-0.145557,0,-2.50004E-05,-0.000259439,0.000729863,-0.000701647,0.000100586,0.000979133,0.000915702,8.3176E-05
0.015,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00755711,-0.145879,0,-2.50004E-05,-0.000259439,0.000675159,-0.000674444,2.03037E-05,0,-5.4704E-05,8.02823E-05
0.016,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00771511,-0.146196,0,-2.50004E-05,-0.000259439,0.000621183,-0.000647604,-5.72435E-05,0,-5.39757E-05,7.75472E-05
0.015,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00785138,-0.14647,0,-2.50004E-05,-0.000259439,0.000574632,-0.000624454,-0.000131661,0,-4.65512E-05,7.44175E-05
0.015,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00797743,-0.146724,0,-2.50004E-05,-0.000259439,0.000531575,-0.00060304,-0.0002029,0,-4.30569E-05,7.1239E-05
0.016,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.0081018,-0.146974,0,-2.50004E-05,-0.000259439,0.00048909,-0.000581911,-0.000271151,0,-4.24851E-05,6.8251E-05
0.016,-0.0254575,0.00195827,0.01,0,-0.01,-0.15,0,-0.00821581,-0.147204,0,-2.50004E-05,-0.000259439,0.00045,-0.000562543,-0.000336365,0,-3.90895E-05,6.5214E-05
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00846406,-0.147401,0,-2.75653E-05,-0.000259268,0.000413954,-0.000520225,-0.000398524,-2.56486E-06,-3.60459E-05,6.2159E-05
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00870899,-0.147596,0,-2.75653E-05,-0.000259268,0.000380874,-0.00047861,-0.000457618,0,-3.30806E-05,5.9094E-05
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00892025,-0.147332,0,-0.0010067,-0.000259268,-0.000553351,-0.000442718,-0.000586342,-0.000979133,-0.000934225,0.000128724
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00911575,-0.147088,0,-0.00100413,-0.000259439,-0.000509491,-0.000409658,-0.000701168,2.56486E-06,4.38597E-05,0.000114826
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00929659,-0.146863,0,-0.00100413,-0.000259439,-0.000471247,-0.000378936,-0.000803536,0,3.82438E-05,0.000102368
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00946387,-0.146655,0,-0.00100413,-0.000259439,-0.000435876,-0.000350519,-0.000894562,0,3.53716E-05,9.10259999999999E-05
0.015,-0.0244783,0.000979134,0,0,-0.01,-0.15,0,-0.00918634,-0.146462,0,-0.00100413,0.000719695,-0.000403155,0.000581468,-0.000975269,0,3.27211E-05,8.07070000000001E-05
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00893001,-0.146716,0,-2.50004E-05,0.000719695,0.000532821,0.000537922,-0.000974023,0.000979133,0.000935975,1.24599999999999E-06
0.016,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.0086771,-0.146967,0,-2.50004E-05,0.000719695,0.000490241,0.000494957,-0.000974997,0,-4.25801E-05,9.7399999999994E-07
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00845897,-0.147183,0,-2.50004E-05,0.000719695,0.000453508,0.0004579,-0.000977585,0,-3.67332E-05,2.58799999999998E-06
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00868945,-0.147383,0,-2.50004E-05,-0.000259439,0.000419529,-0.000482079,-0.000981471,0,-3.39784E-05,3.88600000000004E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00891686,-0.147581,0,-2.50004E-05,-0.000259439,0.000386009,-0.000443446,-0.000986545,0,-3.35202E-05,5.07400000000009E-06
