dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,dax_n_imu,dax_n_cal
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0175219,-0.144193,0,0.000699483,-0.000459572,-1.27573e-05,-3.86613e-05,0,1.05798e-06
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0175044,-0.144188,0,0.000699483,-0.000459572,-1.17756e-05,-3.56941e-05,0,9.81614e-07
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0179483,-0.144182,0,0.000699481,0.000519562,-1.08108e-05,0.000868039,-1.86265e-09,9.6485e-07
0.016,-0.0244783,-0.00391654,0,-0,0.02,-0.14,0,0.0183567,-0.144177,0,0.000699481,0.000519562,-9.92045e-06,0.00079867,0,8.90344e-07
0.016,-0.0254575,-0.00391654,0,-0,0.02,-0.14,0,0.0187325,-0.144633,0,0.00167861,0.000519562,0.000891704,0.000734852,0.000979131,0.000901625
0.015,-0.0254575,-0.00391654,0,-0,0.02,-0.14,0,0.0190565,-0.145027,0,0.00167861,0.000519562,0.000824848,0.000679808,0,-6.68559e-05
0.016,-0.0254575,-0.00391654,0,-0,0.02,-0.14,0,0.0193763,-0.145415,0,0.00167861,0.000519562,0.000758888,0.000625498,0,-6.596e-05
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0190697,-0.145318,0,0.000699483,-0.000459572,-0.000203701,-0.000301568,-0.000979129,-0.000962589
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0187673,-0.145221,0,0.000699483,-0.000459572,-0.000187378,-0.000250194,0,1.63224e-05
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.018489,-0.145133,0,0.000699483,-0.000459572,-0.000172365,-0.00020293,0,1.50129e-05
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.018249,-0.145057,0,0.000699483,-0.000459572,-0.000159414,-0.000162165,0,1.2951e-05
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0180122,-0.144982,0,0.000699483,-0.000459572,-0.000146637,-0.000121944,0,1.27777e-05
0.016,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0177942,-0.144911,0,0.000697093,-0.000459913,-0.000137158,-8.52204e-05,-2.38977e-06,9.479e-06
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0176062,-0.144851,0,0.000697093,-0.000459913,-0.000126848,-5.32812e-05,0,1.03097e-05
0.015,-0.0244783,-0.0029374,-0.01,-0,0.02,-0.14,0,0.0174322,-0.144794,0,0.000697093,-0.000459913,-0.000117315,-2.37371e-05,0,9.53302e-06
