行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
1,0.278662,0.269893,0.105969,0.115406,0.156181,0.102704,0.00482377,0.151453
1,0.283015,0.274484,0.105969,0.119558,0.160664,0.102704,0.00482377,0.156055
1,0.285278,0.27889,0.122349,0.124056,0.165481,0.119063,0.00576999,0.160989
1,0.287862,0.282804,0.122349,0.128612,0.170339,0.119063,0.00576999,0.165973
1,0.290175,0.286,0.122349,0.132926,0.174929,0.119063,0.00576999,0.170707
1,0.292012,0.288725,0.139128,0.137277,0.179546,0.135826,0.00653089,0.175467
1,0.294307,0.291266,0.139128,0.141958,0.184508,0.135826,0.00653089,0.180544
1,0.296458,0.293518,0.139128,0.146377,0.189192,0.135826,0.00653089,0.18535
1,0.297508,0.295905,0.139128,0.151131,0.194205,0.135826,0.00653089,0.190477
1,0.297926,0.298303,0.156695,0.155623,0.198911,0.153396,0.0067337,0.195328
1,0.298673,0.301031,0.156695,0.160462,0.203942,0.153396,0.0067337,0.200506
1,0.301261,0.303837,0.156695,0.16504,0.208698,0.153396,0.0067337,0.205409
1,0.301283,0.306876,0.156695,0.169975,0.213771,0.153396,0.0067337,0.210647
1,0.300202,0.309602,0.173986,0.174639,0.218511,0.170689,0.00691842,0.215598
1,0.299472,0.312101,0.173986,0.179653,0.223556,0.170689,0.00691842,0.220873
1,0.300354,0.313777,0.173986,0.184372,0.228298,0.170689,0.00691842,0.225839
1,0.299341,0.314848,0.19168,0.189103,0.233025,0.188388,0.00697109,0.230796
1,0.297781,0.315222,0.19168,0.194149,0.238043,0.188388,0.00697109,0.236049
1,0.300113,0.31496,0.19168,0.198872,0.242781,0.188388,0.00697109,0.240964
1,0.302597,0.314302,0.19168,0.203581,0.247557,0.188388,0.00697109,0.245857
1,0.300923,0.313475,0.211031,0.20859,0.252625,0.207727,0.00770577,0.25104
1,0.299181,0.312843,0.211031,0.213278,0.257349,0.207727,0.00770577,0.255886
1,0.299136,0.312382,0.211031,0.218273,0.262388,0.207727,0.00770577,0.261027
1,0.301839,0.312252,0.211031,0.222956,0.267153,0.207727,0.00770577,0.265848
1,0.300398,0.312421,0.228912,0.227643,0.271896,0.225612,0.0078085,0.270664
1,0.298541,0.312692,0.228912,0.232648,0.276925,0.225612,0.0078085,0.275787
1,0.299507,0.312927,0.228912,0.237657,0.28197,0.225612,0.0078085,0.280906
1,0.30037,0.312988,0.246631,0.242352,0.286713,0.243333,0.00793005,0.285706
1,0.300765,0.312844,0.246631,0.247044,0.291461,0.243333,0.00793005,0.2905
1,0.299581,0.312396,0.246631,0.251726,0.296192,0.243333,0.00793005,0.295282
1,0.299162,0.311775,0.246631,0.256398,0.300916,0.243333,0.00793005,0.300049
1,0.299677,0.311053,0.264915,0.261059,0.305649,0.26161,0.00844295,0.304804
1,0.301167,0.310452,0.264915,0.265711,0.310403,0.26161,0.00844295,0.30955
1,0.300306,0.310136,0.264915,0.270671,0.315461,0.26161,0.00844295,0.314603
1,0.299517,0.310182,0.264915,0.275634,0.320506,0.26161,0.00844295,0.319655
1,0.299691,0.310367,0.283652,0.280291,0.325238,0.280351,0.00851079,0.324399
1,0.300214,0.31065,0.283652,0.284953,0.329978,0.280351,0.00851079,0.329146
1,0.299871,0.310914,0.283652,0.28993,0.335029,0.280351,0.00851079,0.334207
1,0.299635,0.310969,0.283652,0.294594,0.339761,0.280351,0.00851079,0.338956
1,0.299006,0.310807,0.301364,0.299566,0.344798,0.298064,0.00863246,0.344012
1,0.301081,0.310445,0.301364,0.30453,0.349868,0.298064,0.00863246,0.349064
1,0.299722,0.309986,0.301364,0.309486,0.354916,0.298064,0.00863246,0.354108
1,0.299603,0.309637,0.319678,0.314128,0.359647,0.31637,0.00923183,0.358838
1,0.299294,0.30947,0.319678,0.318769,0.364374,0.31637,0.00923183,0.363565
1,0.301316,0.309611,0.319678,0.323724,0.369447,0.31637,0.00923183,0.368607
1,0.300023,0.310115,0.319678,0.32838,0.374185,0.31637,0.00923183,0.373347
1,0.299243,0.310904,0.337136,0.33336,0.379225,0.333818,0.00986171,0.378407
1,0.3,0.31177,0.337136,0.338043,0.383962,0.333818,0.00986171,0.383167
1,0.300797,0.312648,0.337136,0.34274,0.388711,0.333818,0.00986171,0.387938
1,0.299671,0.313433,0.337136,0.347761,0.393759,0.333818,0.00986171,0.39303
1,0.300289,0.313858,0.354819,0.352472,0.3985,0.351513,0.00951809,0.39781
1,0.299187,0.313928,0.354819,0.357495,0.40354,0.351513,0.00951809,0.4029
1,0.301101,0.313699,0.354819,0.362199,0.408294,0.351513,0.00951809,0.407671
1,0.300553,0.313121,0.373428,0.367204,0.413355,0.370122,0.00973316,0.412745
1,0.299811,0.312417,0.373428,0.371885,0.418089,0.370122,0.00973316,0.417494
1,0.298264,0.311569,0.373428,0.376864,0.423114,0.370122,0.00973316,0.42254
1,0.300504,0.310821,0.373428,0.38152,0.427859,0.370122,0.00973316,0.427265
1,0.300872,0.310173,0.392665,0.386168,0.432609,0.389365,0.00962969,0.431983
1,0.299938,0.309677,0.392665,0.391119,0.437661,0.389365,0.00962969,0.437007
1,0.30063,0.309322,0.392665,0.396065,0.442724,0.389365,0.00962969,0.442029
1,0.300072,0.309167,0.392665,0.400702,0.447462,0.389365,0.00962969,0.446742
1,0.301441,0.309112,0.410519,0.405647,0.452538,0.407219,0.00979411,0.451769
1,0.29966,0.309153,0.410519,0.410285,0.45727,0.407219,0.00979411,0.456488
1,0.299527,0.309243,0.410519,0.415233,0.462315,0.407219,0.00979411,0.46152
1,0.299653,0.30935,0.427687,0.420184,0.467362,0.424376,0.0104994,0.466554
1,0.30074,0.309419,0.427687,0.424826,0.47211,0.424376,0.0104994,0.471282
1,0.299525,0.309429,0.427687,0.429776,0.477155,0.424376,0.0104994,0.476321
1,0.299983,0.309334,0.427687,0.434416,0.481892,0.424376,0.0104994,0.48105
1,0.299762,0.309078,0.445315,0.439359,0.486941,0.441976,0.0120044,0.486085
1,0.300014,0.308755,0.445315,0.443988,0.491678,0.441976,0.0120044,0.490808
1,0.299526,0.308345,0.445315,0.44861,0.496408,0.441976,0.0120044,0.495526
1,0.299937,0.307882,0.445315,0.453225,0.501144,0.441976,0.0120044,0.500239
1,0.29921,0.307427,0.463023,0.457833,0.50587,0.459684,0.0122046,0.504947
