roll,pitch,yaw,axb,ayb,axn,ayn
0.016,-0.150579,-0.239056,0.0120437,-0.036228,0.0450402,-0.00491928,-0.0191207
0.015,-0.150849,-0.238406,0.0119289,-0.036228,0.0430819,-0.00482012,-0.0171081
0.015,-0.151228,-0.238233,0.0118156,-0.0372071,0.044061,-0.00380702,-0.0180244
0.016,-0.15099,-0.237612,0.0115328,-0.036228,0.0430819,-0.00467128,-0.0170915
0.016,-0.150611,-0.23704,0.0112499,-0.036228,0.0430819,-0.00457288,-0.0171568
0.016,-0.149491,-0.235902,0.0109648,-0.0352488,0.0421028,-0.00534828,-0.0163756
0.015,-0.147804,-0.234198,0.0108452,-0.0342697,0.0411236,-0.00602225,-0.0156945
0.016,-0.14646,-0.232036,0.0107167,-0.0342697,0.0411236,-0.00565038,-0.0159256
0.015,-0.146307,-0.230323,0.0107502,-0.0342697,0.0430819,-0.00535133,-0.0179127
0.016,-0.146444,-0.228013,0.0106272,-0.0332906,0.044061,-0.00594466,-0.0188608
0.015,-0.14726,-0.226017,0.0103648,-0.0332906,0.0460193,-0.00561252,-0.0206711
0.016,-0.148354,-0.225595,0.00976772,-0.0352488,0.0469984,-0.00358944,-0.0214564
0.016,-0.149204,-0.224891,0.00916947,-0.0352488,0.0469984,-0.00346065,-0.021315
0.015,-0.150239,-0.224859,0.00875865,-0.036228,0.0469984,-0.00247623,-0.0211368
0.015,-0.150797,-0.225985,0.008645,-0.0381862,0.0450402,-0.000704467,-0.0190872
0.016,-0.151076,-0.227387,0.00883976,-0.0391654,0.0430819,2.53692e-05,-0.0170758
0.016,-0.151225,-0.228998,0.00935187,-0.0391654,0.0411236,-0.000248145,-0.0150945
0.015,-0.15208,-0.229684,0.00983422,-0.0372071,0.0421028,-0.00232422,-0.0159268
0.015,-0.153304,-0.229747,0.0103178,-0.036228,0.0430819,-0.0033021,-0.0167034
0.016,-0.155423,-0.22981,0.0108368,-0.036228,0.0450402,-0.00330865,-0.0182996
0.015,-0.156801,-0.229715,0.0111725,-0.036228,0.0450402,-0.00329228,-0.0180626
0.016,-0.157067,-0.229119,0.0115256,-0.0372071,0.044061,-0.00220667,-0.0170402
0.016,-0.157127,-0.228409,0.01204,-0.0372071,0.0450402,-0.00208429,-0.0180089
0.016,-0.157345,-0.228374,0.0125547,-0.0381862,0.0450402,-0.001095,-0.017974
0.015,-0.157128,-0.228767,0.0133338,-0.0391654,0.0430819,-0.000187688,-0.0160501
0.016,-0.157075,-0.228565,0.0141658,-0.0372071,0.0430819,-0.00211093,-0.0160598
0.015,-0.15703,-0.227689,0.0147962,-0.0352488,0.0430819,-0.0039144,-0.0160707
0.016,-0.156671,-0.227605,0.0154694,-0.036228,0.0430819,-0.00290894,-0.0161402
0.016,-0.156501,-0.227688,0.0159832,-0.036228,0.0430819,-0.00292309,-0.0161695
0.015,-0.155226,-0.228491,0.0163106,-0.0372071,0.0401445,-0.00207479,-0.0134565
0.016,-0.153803,-0.229279,0.0165003,-0.0372071,0.0401445,-0.00221811,-0.0136958
0.015,-0.152609,-0.228688,0.016527,-0.0342697,0.0391654,-0.00503051,-0.0129385
0.015,-0.151072,-0.229418,0.0165522,-0.0372071,0.0381862,-0.00223052,-0.012215
0.016,-0.150307,-0.230138,0.0165832,-0.0372071,0.0401445,-0.00235374,-0.0143049
0.015,-0.149771,-0.230758,0.0164643,-0.0372071,0.0411236,-0.00246397,-0.0153735
0.015,-0.148971,-0.231626,0.0163464,-0.0372071,0.0411236,-0.00262517,-0.0155035
0.016,-0.148906,-0.232321,0.016386,-0.0372071,0.044061,-0.00274782,-0.0184496
0.016,-0.148071,-0.232345,0.0164236,-0.036228,0.0430819,-0.00373127,-0.0176144
0.015,-0.146773,-0.232213,0.0166068,-0.036228,0.0421028,-0.00371279,-0.0168561
0.015,-0.145719,-0.232365,0.0170901,-0.0372071,0.0421028,-0.00276744,-0.017032
0.016,-0.144998,-0.231577,0.0177646,-0.036228,0.0421028,-0.00361472,-0.0171539
0.015,-0.144097,-0.231597,0.018545,-0.0381862,0.0411236,-0.00166788,-0.0163243
0.016,-0.144722,-0.230539,0.0190627,-0.036228,0.044061,-0.00346272,-0.0191425
0.016,-0.145598,-0.230324,0.0192616,-0.0381862,0.0450402,-0.00145126,-0.01998
0.015,-0.145476,-0.230139,0.019146,-0.0381862,0.044061,-0.00141973,-0.0190218
0.016,-0.145671,-0.228133,0.0187027,-0.0342697,0.044061,-0.00499903,-0.0189845
0.015,-0.14599,-0.226129,0.0181372,-0.0332906,0.044061,-0.00562944,-0.0189322
0.015,-0.146008,-0.224125,0.0175692,-0.0332906,0.0430819,-0.00528495,-0.0179497
0.015,-0.146332,-0.222702,0.017151,-0.0342697,0.0430819,-0.00404959,-0.0179012
0.016,-0.145905,-0.220525,0.0168602,-0.0332906,0.0411236,-0.00464724,-0.0160215
0.015,-0.144959,-0.219073,0.0168858,-0.0342697,0.0401445,-0.00342212,-0.0152022
0.016,-0.142792,-0.217314,0.017229,-0.0342697,0.0381862,-0.00313097,-0.0136095
0.015,-0.140198,-0.216651,0.0176995,-0.036228,0.0372071,-0.00105502,-0.0130787
0.016,-0.13794,-0.216457,0.0183638,-0.0372071,0.0381862,-3.08454e-05,-0.0144532
0.015,-0.136707,-0.217005,0.0189895,-0.0381862,0.0391654,0.000828572,-0.0156278
0.015,-0.136593,-0.217662,0.0196176,-0.0381862,0.0401445,0.000715967,-0.0166266
0.015,-0.138239,-0.219145,0.0202502,-0.0391654,0.0421028,0.00143686,-0.0182988
0.016,-0.140804,-0.220158,0.0209264,-0.0381862,0.0430819,0.000294987,-0.0188439
0.015,-0.143744,-0.221333,0.0215622,-0.0381862,0.044061,9.68128e-05,-0.0193194
0.016,-0.146477,-0.222486,0.0220797,-0.0381862,0.044061,-0.000116888,-0.0188391
0.015,-0.148529,-0.223628,0.0224147,-0.0381862,0.044061,-0.000321124,-0.0184807
0.016,-0.149629,-0.224788,0.022611,-0.0372071,0.0430819,-0.0014813,-0.0173254
0.016,-0.149857,-0.22569,0.0224849,-0.0372071,0.0421028,-0.00165237,-0.0162969
0.015,-0.149747,-0.226037,0.0222168,-0.036228,0.0421028,-0.00270291,-0.0163085
0.015,-0.148486,-0.226352,0.0219453,-0.036228,0.0401445,-0.00277333,-0.0145573
0.016,-0.147246,-0.225596,0.0216558,-0.0342697,0.0401445,-0.00459367,-0.0147768
0.015,-0.146211,-0.22508,0.0215322,-0.0352488,0.0391654,-0.00350279,-0.0139906
0.015,-0.145129,-0.224303,0.0215564,-0.0352488,0.0381862,-0.00336549,-0.0132002
0.015,-0.144301,-0.224135,0.0218783,-0.0372071,0.0372071,-0.00138241,-0.0123604
0.016,-0.142584,-0.224435,0.0222185,-0.0381862,0.0352488,-0.000432462,-0.010712
0.016,-0.141168,-0.22533,0.0225596,-0.0391654,0.0352488,0.000400558,-0.0109602
0.015,-0.14183,-0.226405,0.0228856,-0.0391654,0.0381862,0.000224493,-0.0137885
0.015,-0.144293,-0.227542,0.0232187,-0.0391654,0.0421028,1.46963e-05,-0.0172716
0.016,-0.146109,-0.227461,0.023412,-0.036228,0.0411236,-0.00290532,-0.0159836
0.015,-0.147809,-0.227396,0.0237445,-0.036228,0.0421028,-0.00288203,-0.0166779
0.016,-0.149916,-0.226876,0.0241022,-0.0352488,0.044061,-0.00377095,-0.0182741
0.015,-0.150142,-0.227571,0.0244325,-0.0372071,0.0411236,-0.00195682,-0.0152816
0.015,-0.1502,-0.229216,0.0249133,-0.0391654,0.0411236,-0.000285454,-0.0152684
0.015,-0.148949,-0.231163,0.0252408,-0.0401445,0.0391654,0.000353992,-0.0135228
0.016,-0.14694,-0.233085,0.0254288,-0.0401445,0.0381862,2.67327e-05,-0.0128921
0.015,-0.144903,-0.234314,0.0254559,-0.0391654,0.0381862,-0.00117178,-0.0132383
0.016,-0.144101,-0.234166,0.0251711,-0.036228,0.0411236,-0.00407438,-0.01632
0.015,-0.142682,-0.234465,0.0247526,-0.0372071,0.0401445,-0.00314719,-0.0155847
0.016,-0.140648,-0.23415,0.0244662,-0.036228,0.0401445,-0.00405996,-0.0159424
0.016,-0.139365,-0.233859,0.0240241,-0.036228,0.0421028,-0.00401305,-0.0181191
0.015,-0.138679,-0.233603,0.0236117,-0.036228,0.0430819,-0.00398066,-0.0192091
0.016,-0.13787,-0.233191,0.0233298,-0.036228,0.0421028,-0.0039063,-0.0183716
0.015,-0.139791,-0.232395,0.0233715,-0.036228,0.0460193,-0.003744,-0.0219716
0.015,-0.141717,-0.231507,0.0235621,-0.036228,0.0460193,-0.0035952,-0.0216378
0.016,-0.14426,-0.229402,0.0237639,-0.0342697,0.0460193,-0.0051874,-0.0212034
0.015,-0.147057,-0.228015,0.024102,-0.0352488,0.0460193,-0.00396205,-0.0207267
0.016,-0.151503,-0.226808,0.0243074,-0.0352488,0.0489567,-0.00375338,-0.0228994
0.015,-0.155791,-0.226497,0.0243493,-0.036228,0.0489567,-0.00271332,-0.0221667
0.015,-0.1595,-0.226932,0.0245374,-0.0372071,0.0469984,-0.0018179,-0.0195648
0.015,-0.163651,-0.227181,0.0245758,-0.0372071,0.0479776,-0.00187218,-0.0198216
0.016,-0.167024,-0.227267,0.0249297,-0.0372071,0.0450402,-0.00188449,-0.0163067
0.016,-0.171228,-0.227964,0.0256049,-0.0381862,0.0460193,-0.00101719,-0.016568
0.015,-0.176011,-0.227412,0.0263892,-0.036228,0.0479776,-0.00287595,-0.0177075
0.015,-0.181312,-0.226902,0.0271739,-0.036228,0.0489567,-0.00278793,-0.017775
0.015,-0.186667,-0.225728,0.0279574,-0.0342697,0.0489567,-0.00454053,-0.016858
0.016,-0.192559,-0.22502,0.0286331,-0.0352488,0.0499358,-0.00345106,-0.0168135
0.016,-0.198141,-0.224395,0.0291486,-0.0342697,0.0499358,-0.00431926,-0.0158571
0.015,-0.202519,-0.224428,0.0293292,-0.0352488,0.0489567,-0.00336202,-0.0141106
0.015,-0.206843,-0.224608,0.0293608,-0.0352488,0.0499358,-0.00339666,-0.0143423
0.015,-0.210542,-0.224498,0.0292418,-0.0342697,0.0499358,-0.00435722,-0.0137062
0.016,-0.214484,-0.225914,0.0289562,-0.0372071,0.050915,-0.0016673,-0.0140019
0.016,-0.218836,-0.227646,0.0288333,-0.0391654,0.0538524,-6.14673e-06,-0.0161894
0.015,-0.222117,-0.22899,0.0288682,-0.0391654,0.0548315,-0.000237159,-0.016604
0.016,-0.223487,-0.231362,0.0288998,-0.0421028,0.0528732,0.00229472,-0.0144125
0.015,-0.223194,-0.23326,0.0290769,-0.0421028,0.0518941,0.00197171,-0.0134877
0.015,-0.222724,-0.234861,0.0295572,-0.0421028,0.0538524,0.00168938,-0.0155194
0.015,-0.220536,-0.234888,0.030182,-0.0401445,0.0518941,-0.000274096,-0.0139388
0.015,-0.217183,-0.232904,0.0308047,-0.036228,0.050915,-0.00385325,-0.0135349
0.016,-0.213422,-0.230654,0.0314685,-0.0352488,0.0499358,-0.0044411,-0.0132071
0.015,-0.209906,-0.228716,0.03194,-0.0352488,0.0489567,-0.00409993,-0.0128402
