行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,0.000199323,0,0.000418292,-5.64929e-06
0,0.000210325,0,0.00123286,-5.74705e-06
0,0.000135606,0,0.00123286,-5.71963e-06
0,0.000194107,0,0.00123286,-5.69553e-06
0,0,0,0.00123286,-5.67143e-06
0,0.000221193,0,0.000422725,-5.64402e-06
0,9.52637e-05,0,0.000422725,-5.61992e-06
0,0.000199561,0,0.000422725,-5.59582e-06
0,0.000140816,0,0.000240215,-5.5684e-06
0,0.000260209,0,0.000240215,-5.66616e-06
0,0.000200222,0,0.000240215,-5.75701e-06
0,0.000115563,0,0.000240215,-5.84786e-06
0,0.000246429,0,0.00099078,-5.95122e-06
0,0.000156474,0,0.00099078,-6.05459e-06
0,0.000309614,0,0.00099078,-6.15796e-06
0,0.000107685,0,0.00099078,-6.13879e-06
0,3.45877e-05,0,0.00081316,-6.11698e-06
0,0.000229422,0,0.00081316,-6.09516e-06
0,0.000229306,0,0.00081316,-6.07599e-06
0,0.000297674,0,0.000875094,-6.05418e-06
0,0.000236706,0,0.000875094,-6.03237e-06
0,0.000148863,0,0.000875094,-6.0132e-06
0,0.000183771,0,0.000875094,-5.99403e-06
0,0.000203042,0,0.000698315,-5.97486e-06
0,0.000222294,0,0.000698315,-5.95305e-06
0,0.00022241,0,0.000698315,-5.93388e-06
0,0.000264671,0,0.000698315,-6.02473e-06
0,0.000271661,0,0.0011262,-6.1281e-06
0,0,0,0.0011262,-6.21895e-06
0,0.000127874,0,0.0011262,-6.32231e-06
0,5.46853e-05,0,0.0011262,-6.29822e-06
0,0.000235115,0,0.000957816,-6.27412e-06
0,0.000232192,0,0.000957816,-6.2467e-06
0,0.000109089,0,0.000957816,-6.2226e-06
0,0.000146184,0,0.00152698,-6.1985e-06
0,0.000264009,0,0.00152698,-6.17108e-06
0,0.000255042,0,0.00152698,-6.257e-06
0,2.76202e-05,0,0.00143922,-6.34785e-06
0,0.000193106,0,0.00143922,-6.4387e-06
0,0,0,0.00143922,-6.52955e-06
0,0.000182193,0,0.00143922,-6.6204e-06
0,0.00029909,0,0.000281868,-6.59298e-06
0,0,0,0.000281868,-6.56888e-06
0,0.0001458,0,0.000281868,-6.54147e-06
0,2.73837e-05,0,0.000281868,-6.63232e-06
0,0.000213594,0,0.000775838,-6.72316e-06
0,0.000227129,0,0.000775838,-6.82653e-06
0,0.000231134,0,0.000775838,-6.91738e-06
0,3.95268e-05,0,0.000775838,-7.00823e-06
